season_year,player_name,nationality,team_name,apps,assists,penalties,goals
1996,René Tretschok,Alemania,Borussia Dortmund,9,2,0,2
1997,Alessandro Del Piero,Italia,Juventus de Turín,10,4,3,10
1997,Thierry Henry,Francia / Guadalupe,AS Mónaco,9,1,0,7
1997,Filippo Inzaghi,Italia,Juventus de Turín,10,1,0,6
1997,Sergiy Rebrov,Ucrania,FC Dinamo de Kiev,8,0,0,6
1997,Andriy Shevchenko,Ucrania,FC Dinamo de Kiev,8,2,1,5
1997,Andy Cole,Inglaterra / Jamaica,Manchester United,7,1,0,5
1997,Carsten Jancker,Alemania,Bayern Múnich,8,2,0,4
1997,David Trezeguet,Francia / Argentina,AS Mónaco,9,2,0,4
1997,Fernando Morientes,España,Real Madrid CF,10,2,0,4
1997,Victor Ikpeba,Nigeria,AS Mónaco,10,1,0,4
1997,Davor Suker,Croacia,Real Madrid CF,7,1,3,4
1997,Sigurd Rushfeldt,Noruega,Rosenborg BK,6,1,0,4
1997,Stéphane Chapuisat,Suiza,Borussia Dortmund,9,1,0,4
1997,Harald Brattbakk,Noruega,Rosenborg BK,6,1,0,4
1997,Stefan Beinlich,Alemania,Bayer 04 Leverkusen,6,0,1,4
1997,Emerson,Brasil / Alemania,Bayer 04 Leverkusen,7,0,0,4
1997,Oktay Derelioğlu,Turquía,Besiktas JK,6,0,0,4
1997,Roar Strand,Noruega,Rosenborg BK,6,0,0,4
1997,Zinédine Zidane,Francia / Argelia,Juventus de Turín,11,7,0,3
1997,Marco Simone,Italia,París Saint-Germain FC,4,2,0,3
1997,Enrico Chiesa,Italia,AC Parma,6,2,1,3
1997,Gilles De Bilde,Bélgica,PSV Eindhoven,6,2,0,3
1997,Andreas Möller,Alemania,Borussia Dortmund,8,1,0,3
1997,Giovane Élber,Brasil,Bayern Múnich,8,1,0,3
1997,Thomas Helmer,Alemania,Bayern Múnich,7,1,0,3
1998,Dwight Yorke,Trinidad y Tobago / Inglaterra,Manchester United,11,8,0,8
1998,Andriy Shevchenko,Ucrania,FC Dinamo de Kiev,10,0,0,8
1998,Zlatko Zahovic,Eslovenia,FC Oporto,6,0,0,7
1998,Filippo Inzaghi,Italia,Juventus de Turín,10,1,0,6
1998,Ruud van Nistelrooy,Países Bajos,PSV Eindhoven,5,1,1,5
1998,Nuno Gomes,Portugal,SL Benfica,5,0,1,5
1998,Sergiy Rebrov,Ucrania,FC Dinamo de Kiev,10,3,1,4
1998,Andy Cole,Inglaterra / Jamaica,Manchester United,9,2,0,4
1998,Ryan Giggs,Gales,Manchester United,7,2,0,4
1998,Stefan Effenberg,Alemania,Bayern Múnich,10,1,1,4
1998,Jürgen Rische,Alemania,1.FC Kaiserslautern,7,1,0,4
1998,Sonny Anderson,Brasil,FC Barcelona,6,1,0,4
1998,Sinisa Gogic,Chipre / Serbia,Olympiacos El Pireo,8,1,0,4
1998,Mario Basler,Alemania,Bayern Múnich,9,0,0,4
1998,Paul Scholes,Inglaterra,Manchester United,10,0,0,4
1998,Carsten Jancker,Alemania,Bayern Múnich,10,4,0,3
1998,Clarence Seedorf,Países Bajos / Surinam,Real Madrid CF,8,3,0,3
1998,Rivaldo,Brasil / España,FC Barcelona,6,2,0,3
1998,Sávio,Brasil / Francia,Real Madrid CF,7,2,0,3
1998,Ilya Tsymbalar,Rusia / Ucrania,FC Spartak de Moscú,6,2,0,3
1998,Raúl,España,Real Madrid CF,8,1,0,3
1998,Uwe Rösler,Alemania,1.FC Kaiserslautern,6,0,0,3
1998,Sigurd Rushfeldt,Noruega,Rosenborg BK,6,0,0,3
1998,Hakan Şükür,Turquía,Galatasaray,5,0,0,3
1998,Roy Keane,Irlanda,Manchester United,10,0,0,3
1999,Raúl,España,Real Madrid CF,15,4,1,10
1999,Rivaldo,Brasil / España,FC Barcelona,14,1,3,10
1999,Jardel,Brasil / Portugal,FC Oporto,13,0,0,10
1999,Simone Inzaghi,Italia,SS Lazio,11,1,0,9
1999,Sergiy Rebrov,Ucrania,FC Dinamo de Kiev,12,2,3,8
1999,Tore André Flo,Noruega,Chelsea FC,14,1,0,8
1999,Patrick Kluivert,Países Bajos / Surinam,FC Barcelona,14,4,0,7
1999,Paulo Sérgio,Brasil,Bayern Múnich,13,1,1,7
1999,Fernando Morientes,España,Real Madrid CF,14,4,0,6
1999,Roy Keane,Irlanda,Manchester United,12,1,0,6
1999,Luis Enrique,España,FC Barcelona,7,1,0,6
1999,Luís Figo,Portugal,FC Barcelona,13,10,0,5
1999,Claudio López,Argentina / España,Valencia CF,16,7,0,5
1999,Gabriel Batistuta,Argentina / Italia,AC Fiorentina,10,2,0,5
1999,John Carew,Noruega,Rosenborg BK,12,1,0,5
1999,Gaizka Mendieta,España,Valencia CF,14,0,3,5
1999,Sávio,Brasil / Francia,Real Madrid CF,11,5,1,4
1999,Roberto Carlos,Brasil / España,Real Madrid CF,17,4,0,4
1999,Vratislav Lokvenc,República Checa,AC Sparta Praga,11,2,0,4
1999,Jan Derek Sørensen,Noruega,Rosenborg BK,11,1,0,4
1999,Sylvain Wiltord,Francia / Guadalupe,Girondins de Burdeos,12,1,0,4
1999,Marcelo Salas,Chile,SS Lazio,10,1,0,4
1999,Dennis Wise,Inglaterra,Chelsea FC,13,1,0,4
1999,Giovanni,Brasil,Olympiacos El Pireo,5,1,0,4
1999,Artem Bezrodnyi,Rusia / Ucrania,FC Spartak de Moscú,6,1,0,4
2000,Raúl,España,Real Madrid CF,12,5,0,7
2000,Giovane Élber,Brasil,Bayern Múnich,16,2,0,6
2000,Iván Helguera,España,Real Madrid CF,14,2,0,6
2000,Paul Scholes,Inglaterra,Manchester United,12,1,1,6
2000,Marco Simone,Italia,AS Mónaco,6,1,1,6
2000,Jardel,Brasil / Portugal,Galatasaray,14,1,0,6
2000,Rivaldo,Brasil / España,FC Barcelona,6,0,1,6
2000,Luís Figo,Portugal,Real Madrid CF,14,9,3,5
2000,Mehmet Scholl,Alemania / Turquía,Bayern Múnich,16,2,1,5
2000,Christian,Brasil / Portugal,París Saint-Germain FC,8,1,0,5
2000,Teddy Sheringham,Inglaterra,Manchester United,11,1,0,5
2000,Claudio López,Argentina / España,SS Lazio,6,1,0,5
2000,Alan Smith,Inglaterra,Leeds United,14,1,0,5
2000,Lee Bowyer,Inglaterra,Leeds United,13,1,0,5
2000,Juan Sánchez,España,Valencia CF,14,1,0,5
2000,Walter Pandiani,Uruguay / Italia,RC Deportivo de La Coruña,12,1,0,5
2000,Nicolas Anelka,Francia / Martinica,París Saint-Germain FC,9,0,0,5
2000,Andriy Shevchenko,Ucrania,AC Milan,12,0,3,5
2000,Tomasz Radzinski,Canadá / Polonia,RSC Anderlecht,12,0,0,5
2000,Filippo Inzaghi,Italia,Juventus de Turín,6,0,1,5
2000,Frode Johnsen,Noruega,Rosenborg BK,6,0,0,5
2000,Mark Viduka,Australia / Croacia,Leeds United,14,4,0,4
2000,Marcão,Brasil,FC Spartak de Moscú,11,3,0,4
2000,Steve Marlet,Francia / Martinica,Olympique de Lyon,11,3,0,4
2000,Roberto Carlos,Brasil / España,Real Madrid CF,14,3,0,4
2001,Ruud van Nistelrooy,Países Bajos,Manchester United,14,3,3,10
2001,David Trezeguet,Francia / Argentina,Juventus de Turín,10,2,0,8
2001,Thierry Henry,Francia / Guadalupe,Arsenal FC,11,0,2,7
2001,Ole Gunnar Solskjaer,Noruega,Manchester United,15,0,0,7
2001,Michael Ballack,Alemania,Bayer 04 Leverkusen,15,3,0,6
2001,Giovane Élber,Brasil,Bayern Múnich,11,3,0,6
2001,Patrick Kluivert,Países Bajos / Surinam,FC Barcelona,15,3,0,6
2001,Raúl,España,Real Madrid CF,12,3,0,6
2001,Diego Tristán,España,RC Deportivo de La Coruña,12,1,1,6
2001,Michalis Konstantinou,Chipre,Panathinaikos FC,14,1,0,6
2001,David Beckham,Inglaterra,Manchester United,13,5,1,5
2001,Oliver Neuville,Alemania,Bayer 04 Leverkusen,15,2,0,5
2001,Luis Enrique,España,FC Barcelona,13,2,0,5
2001,Alessandro Del Piero,Italia,Juventus de Turín,10,4,0,4
2001,Éric Carrière,Francia,Olympique de Lyon,5,2,0,4
2001,Javier Saviola,Argentina / España,FC Barcelona,11,2,0,4
2001,Silva,Brasil / Portugal,Boavista FC,11,2,0,4
2001,Claudio Pizarro,Perú / Italia,Bayern Múnich,14,1,0,4
2001,Ümit Karan,Turquía / Alemania,Galatasaray,11,1,0,4
2001,Vladimir Beschastnykh,Rusia,FC Spartak de Moscú,6,1,0,4
2001,Santiago Solari,Argentina / España,Real Madrid CF,14,1,0,4
2001,Libor Sionko,República Checa,AC Sparta Praga,12,1,0,4
2001,Rivaldo,Brasil / España,FC Barcelona,11,4,1,3
2001,Luís Figo,Portugal,Real Madrid CF,11,3,2,3
2001,Zinédine Zidane,Francia / Argelia,Real Madrid CF,9,2,0,3
2002,Ruud van Nistelrooy,Países Bajos,Manchester United,9,4,0,12
2002,Filippo Inzaghi,Italia,AC Milan,14,4,0,10
2002,Raúl,España,Real Madrid CF,12,6,0,9
2002,Hernán Crespo,Argentina / Italia,Inter de Milán,12,3,0,9
2002,Roy Makaay,Países Bajos,RC Deportivo de La Coruña,11,2,0,9
2002,Jan Koller,República Checa,Borussia Dortmund,12,2,0,8
2002,Thierry Henry,Francia / Guadalupe,Arsenal FC,12,3,0,7
2002,Javier Saviola,Argentina / España,FC Barcelona,12,1,0,7
2002,Ronaldo,Brasil / España,Real Madrid CF,11,3,0,6
2002,Alan Shearer,Inglaterra,Newcastle United,10,1,2,6
2002,Alessandro Del Piero,Italia,Juventus de Turín,13,5,1,5
2002,Guti,España,Real Madrid CF,15,4,0,5
2002,John Carew,Noruega,Valencia CF,13,3,0,5
2002,Christian Giménez,Argentina / Italia,FC Basilea,12,2,0,5
2002,Ryan Giggs,Gales,Manchester United,13,2,0,5
2002,Zlatan Ibrahimović,Suecia / Bosnia y Herzegovina,Ajax de Ámsterdam,13,2,0,5
2002,Pavel Nedved,República Checa / Italia,Juventus de Turín,15,2,0,5
2002,Patrick Kluivert,Países Bajos / Surinam,FC Barcelona,13,2,0,5
2002,Julio Hernán Rossi,Argentina / Italia,FC Basilea,12,1,0,5
2002,Yakubu Aiyegbeni,Nigeria,Maccabi Haifa,5,1,2,5
2002,Sonny Anderson,Brasil,Olympique de Lyon,6,0,0,5
2002,Juan Sebastián Verón,Argentina / Italia,Manchester United,9,5,0,4
2002,Predrag Djordjevic,Serbia / Grecia,Olympiacos El Pireo,6,2,1,4
2002,Marko Babic,Croacia,Bayer 04 Leverkusen,8,1,0,4
2002,Michael Owen,Inglaterra,Liverpool FC,6,1,0,4
2003,Fernando Morientes,España,AS Mónaco,12,3,0,9
2003,Dado Prso,Croacia / Francia,AS Mónaco,11,0,0,7
2003,Walter Pandiani,Uruguay / Italia,RC Deportivo de La Coruña,12,1,1,6
2003,Roy Makaay,Países Bajos,Bayern Múnich,8,0,1,6
2003,Thierry Henry,Francia / Guadalupe,Arsenal FC,10,7,0,5
2003,Hakan Şükür,Turquía,Galatasaray,6,0,0,5
2003,Didier Drogba,Costa de Marfil / Francia,Olympique de Marsella,6,0,0,5
2003,Juninho Pernambucano,Brasil / Francia,Olympique de Lyon,10,0,2,5
2003,Ludovic Giuly,Francia / Argelia,AS Mónaco,10,3,0,4
2003,Robert Pirès,Francia / Portugal,Arsenal FC,10,2,0,4
2003,Ruud van Nistelrooy,Países Bajos,Manchester United,7,2,1,4
2003,Albert Luque,España,RC Deportivo de La Coruña,11,2,0,4
2003,Benni McCarthy,Sudáfrica,FC Oporto,11,1,0,4
2003,Ronaldo,Brasil / España,Real Madrid CF,9,1,0,4
2003,Frank Lampard,Inglaterra,Chelsea FC,12,1,0,4
2003,Kaká,Brasil / Italia,AC Milan,10,1,0,4
2003,Andriy Shevchenko,Ucrania,AC Milan,9,1,0,4
2003,David Trezeguet,Francia / Argentina,Juventus de Turín,5,1,0,4
2003,Wesley Sonck,Bélgica,Ajax de Ámsterdam,5,0,1,4
2003,Derlei,Brasil / Portugal,FC Oporto,8,3,2,3
2003,Kevin Kuranyi,Alemania / Panamá,VfB Stuttgart,8,2,0,3
2003,Zinédine Zidane,Francia / Argelia,Real Madrid CF,10,2,0,3
2003,Dmitriy Alenichev,Rusia,FC Oporto,9,2,0,3
2003,Marco Di Vaio,Italia,Juventus de Turín,7,1,0,3
2003,Maniche,Portugal,FC Oporto,12,1,0,3
