season_year,player_name,team_name,nationality,apps,clean_sheets,goals_conceded,minutes_per_goal_conceded
2024,Manuel Neuer,Bayern Múnich,Alemania,10,4,11,75
2024,Anatoliy Trubin,SL Benfica,Ucrania,12,4,19,57
2024,Gregor Kobel,Borussia Dortmund,Suiza,13,4,19,62
2024,Caoimhín Kelleher,Liverpool FC,Irlanda,4,3,3,120
2024,Matej Kovar,Bayer 04 Leverkusen,República Checa,6,3,6,90
2024,Alisson,Liverpool FC,Brasil,6,3,7,77
2024,Michele Di Gregorio,Juventus de Turín,Italia,8,3,7,98
2024,Kasper Schmeichel,Celtic FC,Dinamarca,10,3,17,53
2024,Simon Mignolet,Club Brujas KV,Bélgica,12,3,19,57
2024,Stefan Ortega,Manchester City,Alemania / España,2,2,0,0
2024,Jonas Urbig,Bayern Múnich,Alemania,4,2,4,76
2024,Lukas Hradecky,Bayer 04 Leverkusen,Finlandia / Eslovaquia,4,2,6,60
2024,Iñaki Peña,FC Barcelona,España,5,2,5,90
2024,Lukasz Skorupski,Bolonia,Polonia,7,2,8,79
2024,Franco Israel,Sporting de Lisboa,Uruguay / Italia,8,2,12,60
2024,Radoslaw Majecki,AS Mónaco,Polonia,8,2,14,51
2024,Dmytro Riznyk,Shakhtar Donetsk,Ucrania,8,2,16,45
2024,Wojciech Szczesny,FC Barcelona,Polonia,8,2,17,42
2024,Marco Bizot,Stade Brestois 29,Países Bajos,9,2,14,58
2024,Jan Oblak,Atlético de Madrid,Eslovenia,10,2,14,64
2025,David Raya,Arsenal FC,España,4,4,0,0
2025,Yann Sommer,Inter de Milán,Suiza,4,3,1,360
2025,Nick Pope,Newcastle United,Inglaterra,4,3,2,180
2025,Guglielmo Vicario,Tottenham Hotspur,Italia,4,3,2,180
2025,Neofytos Michail,Pafos FC,Chipre,4,3,5,72
2025,Giorgi Mamardashvili,Liverpool FC,Georgia,3,2,1,214
2025,Thibaut Courtois,Real Madrid CF,Bélgica,4,2,2,180
2025,Gianluigi Donnarumma,Manchester City,Italia,4,2,3,120
2025,Marco Carnesecchi,Atalanta de Bérgamo,Italia,4,2,5,72
2025,Philipp Köhn,AS Mónaco,Suiza / Alemania,4,2,6,60
2025,Uğurcan Çakır,Galatasaray,Turquía,4,2,6,60
2025,Alexandros Paschalakis,Olympiacos El Pireo,Grecia,1,1,0,0
2025,Simon Mignolet,Club Brujas KV,Bélgica,1,1,0,0
2025,Temirlan Anarbekov,Kairat Almaty,Kazajistán,2,1,2,90
2025,Jakub Markovic,SK Slavia Praga,República Checa,2,1,3,60
2025,Robert Sánchez,Chelsea FC,España / Inglaterra,3,1,5,54
2025,Michael Zetterer,Eintracht Fráncfort​​,Alemania,3,1,6,45
2025,Manuel Neuer,Bayern Múnich,Alemania,4,1,3,120
2025,Gerónimo Rulli,Olympique de Marsella,Argentina / Italia,4,1,5,72
2025,Lucas Chevalier,París Saint-Germain FC,Francia,4,1,5,72
2025,Mateusz Kochalski,Qarabağ FK,Polonia,4,1,7,51
2025,Vanja Milinković-Savić,SSC Nápoles,Serbia / España,4,1,9,40
2025,Mark Flekken,Bayer 04 Leverkusen,Países Bajos,4,1,10,36
2025,João Virgínia,Sporting de Lisboa,Portugal,1,0,1,90
2025,Filip Jørgensen,Chelsea FC,Dinamarca / Suecia,1,0,1,90
